#{"t_start": 1642525102.3269677, "env_id": "Ataxx-v0"}
r,l,t
-1.0,2,5.745237
-1.0,3,5.749358
-1.0,1,5.750437
-1.0,3,5.754437
-1.0,2,5.761943
-1.0,4,5.767998
-1.0,5,5.777281
-1.0,2,5.780317
-1.0,3,5.784384
-1.0,1,5.785501
-1.0,1,5.786585
-1.0,1,5.788341
-1.0,1,5.789813
-1.0,1,5.791052
-1.0,1,5.792044
-1.0,1,5.793128
-1.0,3,5.798103
-1.0,3,5.802453
-1.0,1,5.803679
-1.0,1,5.805545
-1.0,4,5.811596
-1.0,1,5.812689
-1.0,2,5.816038
-1.0,3,5.819943
-1.0,2,5.822942
-1.0,1,5.824311
-1.0,3,5.828584
-1.0,4,7.127024
-1.0,2,7.129985
-1.0,1,7.130997
-1.0,1,7.132077
-1,2,7.134701
-1.0,6,7.14502
-1.0,7,7.15715
-1.0,1,7.158636
-1.0,1,7.16067
-1.0,3,7.164372
-1.0,5,7.172878
-1.0,1,7.17387
-1,4,7.18042
-1.0,2,7.183266
-1.0,5,7.191227
-1.0,2,7.193582
-1.0,1,7.194565
-1.0,1,7.196169
-1.0,1,7.197385
-1.0,9,7.21495
-1.0,2,7.217498
-1,4,7.224095
-1.0,2,7.227411
-1.0,1,7.228542
-1.0,3,7.232563
-1.0,1,7.233718
-1.0,2,7.235957
-1.0,2,7.238461
-1.0,1,7.239601
-1.0,2,7.241906
-1.0,1,7.242873
-1.0,1,7.244145
-1,3,7.248345
-1,1,7.249639
-1.0,2,7.252484
-1.0,1,7.253468
-1.0,4,7.259949
-1.0,1,7.26107
-1,3,7.265612
-1.0,3,7.26957
-1.0,3,7.274078
-1.0,1,7.275926
-1.0,1,7.277158
-1.0,1,7.278246
-1,4,7.284514
-1.0,2,7.287299
-1.0,1,7.288357
-1.0,2,7.291202
-1.0,2,7.294749
-1.0,1,7.296318
-1.0,3,7.30104
-1.0,1,7.302088
-1,1,7.303053
-1.0,5,7.31073
-1.0,2,7.31354
-1.0,1,7.314528
-1.0,7,7.326266
-1.0,2,7.329227
-1.0,1,7.330585
-1.0,3,7.33474
-1.0,4,7.340928
-1.0,1,7.342838
-1.0,4,7.349714
-1.0,4,7.355907
-1.0,1,7.357747
-1.0,2,7.360743
-1.0,1,7.361863
-1,1,7.362813
-1.0,1,7.363889
-1,1,7.36551
-1.0,2,7.367878
-1.0,1,7.368971
-1.0,5,7.376779
-1.0,8,7.392353
-1.0,1,7.393362
-1.0,2,7.396205
-1.0,4,7.402076
-1.0,5,7.411311
-1.0,3,7.415629
-1.0,4,7.421643
-1.0,4,7.429392
-1.0,6,7.439705
-1.0,2,7.442004
-1.0,1,7.44308
-1.0,2,7.446352
-1,1,7.447335
-1.0,4,7.453886
-1.0,3,7.458247
-1.0,2,7.460579
-1.0,2,7.463939
-1.0,3,7.468123
-1.0,3,7.472466
-1.0,2,7.476477
-1.0,2,7.478894
-1.0,2,7.482131
-1.0,3,7.486136
-1,2,7.488431
-1.0,4,7.495572
-1.0,1,7.496595
-1.0,1,7.497691
-1.0,7,7.509541
-1.0,4,7.515335
-1.0,5,7.524623
-1.0,2,7.527087
-1,3,7.531574
-1.0,1,7.532629
-1.0,2,7.535131
-1.0,1,7.536109
-1.0,2,7.538678
-1.0,3,7.544346
-1.0,2,7.54737
-1.0,1,7.548552
-1.0,2,7.55117
-1.0,1,7.552153
-1.0,1,7.55334
-1,3,7.557683
-1.0,3,7.562777
-1.0,2,7.566233
-1.0,1,7.567416
-1.0,2,7.569758
-1.0,2,7.572659
-1.0,1,7.573761
-1,4,7.579577
-1.0,6,7.589574
-1.0,3,7.594062
-1.0,3,7.598673
-1.0,2,7.601297
-1.0,5,7.609838
-1.0,1,7.610997
-1.0,3,7.615869
-1.0,1,7.616979
-1.0,5,7.625064
-1.0,4,7.631033
-1,2,7.633977
-1.0,3,7.638023
-1,5,7.645743
-1.0,1,7.646789
-1.0,7,7.65977
-1.0,3,7.664461
-1.0,3,7.668541
-1.0,4,7.674775
-1.0,1,7.67643
-1,1,7.677448
-1.0,2,7.680364
-1.0,3,7.684475
-1,1,7.685461
-1.0,6,7.695882
-1.0,4,7.702155
-1.0,1,7.703281
-1.0,2,7.705814
-1.0,5,7.713663
-1.0,4,7.720222
-1.0,1,7.721351
-1.0,5,7.729823
-1.0,2,7.732058
-1.0,5,7.740255
-1.0,3,7.745848
-1.0,2,7.74904
-1.0,2,7.751423
-1.0,3,7.755565
-1.0,4,7.762583
-1.0,2,7.765676
-1.0,4,7.771558
-1.0,1,7.772754
-1.0,1,7.773763
-1.0,5,7.781473
-1.0,3,7.785975
-1.0,2,7.788343
-1.0,2,7.791603
-1.0,2,7.794113
-1,8,7.80915
-1.0,2,7.811681
-1.0,2,7.814855
-1.0,1,7.816595
-1.0,1,7.817863
-1,5,7.826584
-1.0,2,7.829825
-1,1,7.831455
-1.0,3,7.835617
-1.0,1,7.83668
-1.0,4,7.842783
-1.0,7,7.854804
-1.0,2,7.857857
-1.0,1,7.858861
-1.0,2,7.861206
-1,4,7.867697
-1.0,5,7.876233
-1.0,1,7.877658
-1.0,4,7.884239
-1.0,1,7.885332
-1.0,2,7.88785
-1.0,1,7.889014
-1,5,7.896914
-1.0,7,7.909772
-1.0,3,7.913975
-1.0,2,7.917084
-1.0,2,7.919552
-1.0,1,7.920543
-1.0,1,7.921516
-1.0,2,7.924771
-1.0,1,7.925966
-1.0,1,7.927059
-1.0,5,7.935144
-1.0,2,7.93765
-1.0,2,7.939969
-1.0,4,7.948059
-1.0,4,7.95365
-1.0,1,7.954798
-1.0,3,7.961422
-1.0,3,7.965973
-1.0,2,7.968465
-1.0,1,7.969586
-1.0,1,7.970739
-1.0,8,7.985666
-1.0,1,7.986731
-1.0,4,7.992882
-1.0,5,8.001432
-1.0,1,8.002527
-1.0,3,8.006932
-1.0,1,8.010025
-1.0,4,8.01754
-1.0,1,8.018704
-1.0,1,8.02006
-1.0,4,8.028175
-1.0,3,8.03316
-1.0,2,8.035705
-1.0,1,8.036708
-1.0,1,8.03781
-1.0,2,8.040126
-1.0,2,8.042475
-1.0,2,8.045642
-1.0,1,8.046643
-1.0,1,8.04772
-1.0,1,8.048831
-1.0,2,8.051889
-1,4,8.058703
-1.0,1,8.059881
